CHANGE_NO,PROJECT_NAME,PROJECT_MANAGER,CHANGE_TYPE,DESCRIPTION,DATE_IDENTIFIED,STATUS,PRIORITY,ASSIGNED_TO,RESOLUTION_EXPECTED,ACTION,AREA_OF_IMPACT,ESCALATION_REQUIRED,DATE_RESOLVED,SYSTEM_AFFECTED,ESTIMATED_DURATION_HOURS,TEAM_SIZE,COMPLEXITY_SCORE,REQUIRES_DOWNTIME,HAS_DEPENDENCIES,BUSINESS_IMPACT,TECHNICAL_RISK,CONFLICT_PROBABILITY,HAS_CONFLICT
CR-00011,"مشروع Martinez, Nielsen and Miller",مريم خليل,Documentation,تحسين سرعة تحميل الصفحات الرئيسية,05/04/2025,Approved,Medium,إبراهيم العتيبي,9 Days,تدريب فريق الدعم الفني على التحديثات والمزايا الجديدة,Scope,YES,16/04/2025,User Management System,36,3,4.4,NO,NO,Low,Low,0.152,1
CR-00012,"مشروع Montgomery, Hensley and Ray",عائشة الزهراني,Mobile,تحديث مكتبات الأمان ضد الثغرات الأمنية الجديدة,06/04/2025,Open,Critical,ليلى سعيد,1 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Scope,YES,,Cache Server,6,10,9.5,NO,NO,Medium,High,0.547,1
CR-00013,مشروع كانو and Sons,رقية الشمري,Analytics,إصلاح مشكلة في حفظ إعدادات المستخدم الشخصية,17/03/2025,Open,High,نور عبدالله,2 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Security,NO,,CDN Service,19,4,9.4,NO,NO,Medium,High,0.63,1
CR-00014,مشروع Wyatt Inc,فاطمة علي,Backend,تحسين أداء استعلامات قاعدة البيانات المعقدة,19/08/2025,Complete,Medium,ليلى سعيد,11 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Performance,NO,04/09/2025,File Storage System,46,1,6.3,NO,NO,Medium,Medium,0.431,0
CR-00015,مشروع Chavez-Flowers,محمد الأحمد,Integration,إضافة ميزة التصفية المتقدمة في نظام البحث العام,23/04/2025,Approved,Critical,إبراهيم العتيبي,1 Days,إنشاء نسخة احتياطية كاملة قبل تطبيق أي تغييرات,Resources,YES,24/04/2025,Notification Service,2,8,2.9,NO,YES,Medium,Low,0.469,0
CR-00016,مشروع الجفالي-آل علي,زينب القرشي,Analytics,إضافة نظام إشعارات فورية للمستخدمين عبر البريد الإلكتروني,29/03/2025,Open,High,فاطمة علي,6 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Security,NO,,Audit System,17,6,4.8,YES,YES,Medium,High,0.273,0
CR-00017,"مشروع Zuniga, Wong and Lynch",فاطمة علي,Analytics,تحسين أداء استعلامات قاعدة البيانات المعقدة,23/06/2025,Rejected,Low,يوسف محمود,30 Days,إنشاء نسخة احتياطية كاملة قبل تطبيق أي تغييرات,Compliance,NO,,Payment Gateway,14,3,4.8,NO,NO,High,Low,0.0,0
CR-00018,"مشروع آل قصير, آل صفوان and العجلان",فاطمة علي,Documentation,إصلاح مشكلة في واجهة تسجيل الدخول التي تؤثر على المستخدمين,06/05/2025,Rejected,Medium,خديجة المطيري,6 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Schedule,NO,,Notification Service,32,4,2.5,NO,YES,Medium,Medium,0.242,0
CR-00019,مشروع Mayo-Bowman,علي المالكي,Documentation,إصلاح مشكلة في معالجة المدفوعات الإلكترونية,28/06/2025,On Hold,Low,عبدالرحمن الحربي,22 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Security,YES,,API Gateway,9,9,7.0,NO,NO,Medium,High,0.0,0
CR-00020,"مشروع أبو داوود, آل بن لافي and آل عواض",خديجة المطيري,Frontend,إصلاح مشكلة في واجهة تسجيل الدخول التي تؤثر على المستخدمين,28/06/2025,Needs Review,High,محمد الأحمد,4 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Budget,NO,,API Gateway,8,10,5.3,NO,NO,Medium,Low,0.491,0
CR-00021,مشروع الخرافي-آل معيض,عمر حسان,Frontend,إضافة نظام مراقبة الأداء في الوقت الفعلي,09/07/2025,Open,Low,ليلى سعيد,26 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Schedule,NO,,Payment Gateway,12,10,3.2,NO,YES,High,Medium,0.155,1
CR-00022,مشروع بقشان Ltd,محمد الأحمد,Database,تحسين أداء استعلامات قاعدة البيانات المعقدة,26/07/2025,Approved,Medium,حسان الراشد,6 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Quality,NO,06/08/2025,Monitoring Dashboard,30,5,5.1,NO,YES,High,Medium,0.78,1
CR-00023,مشروع Rios Group,حسان الراشد,Database,إصلاح مشكلة انقطاع الاتصال مع الخادم الرئيسي,14/03/2025,Open,Low,عائشة الزهراني,29 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Scope,NO,,Load Balancer,14,6,3.6,NO,YES,Low,Medium,0.322,1
CR-00024,مشروع Baker and Sons,خديجة المطيري,Mobile,تحديث مكتبات الأمان ضد الثغرات الأمنية الجديدة,16/06/2025,In Progress,Medium,فاطمة علي,14 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Resources,NO,,File Storage System,45,2,9.0,YES,NO,Medium,High,0.259,0
CR-00025,"مشروع Richards, Hurst and Ross",حسان الراشد,Frontend,إضافة دعم اللغات المتعددة للموقع الإلكتروني,15/07/2025,In Progress,Critical,رقية الشمري,2 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Budget,NO,,Reporting System,4,2,6.7,YES,NO,Medium,Medium,0.615,1
CR-00026,مشروع المشاولة Group,زينب القرشي,Database,إصلاح مشكلة في حفظ إعدادات المستخدم الشخصية,05/05/2025,Complete,High,أحمد السعودي,4 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Schedule,NO,13/05/2025,User Management System,6,3,5.9,NO,YES,Medium,High,0.448,1
CR-00027,مشروع آل رفيع and Sons,سارة محمد,Integration,إصلاح مشكلة تحميل الملفات الكبيرة أكثر من 100 ميجا,29/05/2025,On Hold,Low,يوسف محمود,14 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Scope,NO,,Search Engine,57,2,4.2,NO,NO,Medium,Medium,0.138,0
CR-00028,"مشروع الراشد, حجار and آل جعفر",نور عبدالله,Configuration,إضافة ميزة النسخ الاحتياطي التلقائي للبيانات المهمة,17/07/2025,Approved,High,أحمد السعودي,7 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Performance,NO,27/07/2025,Monitoring Dashboard,6,7,8.2,NO,NO,Medium,Medium,0.359,0
CR-00029,مشروع Carlson-Mcdonald,ليلى سعيد,Infrastructure,إضافة نظام إشعارات فورية للمستخدمين عبر البريد الإلكتروني,28/04/2025,On Hold,Medium,عبدالرحمن الحربي,6 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Resources,NO,,Mobile Application,28,4,3.0,NO,NO,High,High,0.762,0
CR-00030,"مشروع Valencia, Smith and Le",حسان الراشد,Backend,إصلاح مشكلة تحميل الملفات الكبيرة أكثر من 100 ميجا,11/08/2025,In Progress,Low,إبراهيم العتيبي,20 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Performance,YES,,Analytics Platform,37,1,2.0,YES,NO,High,High,0.759,0
CR-00031,"مشروع Peterson, Carter and Moore",محمد الأحمد,Frontend,إضافة ميزة النسخ الاحتياطي التلقائي للبيانات المهمة,01/05/2025,Complete,Medium,أسماء الغامدي,9 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Schedule,NO,11/05/2025,Audit System,6,7,9.1,YES,NO,Medium,Medium,0.0,0
CR-00032,"مشروع آل محمد بن علي بن جماز, المشاولة and آل عايض",يوسف محمود,Infrastructure,إصلاح مشكلة تحميل الملفات الكبيرة أكثر من 100 ميجا,13/04/2025,In Progress,Medium,زينب القرشي,11 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Performance,NO,,Payment Gateway,4,10,3.8,NO,NO,High,Medium,0.456,0
CR-00033,"مشروع أبا الخيل, شربتلي and المشاولة",مريم خليل,Analytics,إصلاح مشكلة في حفظ إعدادات المستخدم الشخصية,27/03/2025,Open,High,خالد إبراهيم,6 Days,إنشاء نسخة احتياطية كاملة قبل تطبيق أي تغييرات,Security,NO,,File Storage System,11,7,7.1,NO,NO,Medium,Low,0.4,1
CR-00034,مشروع الحجار and Sons,مريم خليل,Integration,إضافة نظام إشعارات فورية للمستخدمين عبر البريد الإلكتروني,09/04/2025,In Progress,Medium,زينب القرشي,9 Days,تدريب فريق الدعم الفني على التحديثات والمزايا الجديدة,Performance,NO,,Audit System,29,8,5.0,YES,NO,Medium,High,0.264,1
CR-00035,"مشروع أبو داوود, العليان and آل العسكري",أسماء الغامدي,Backend,إضافة تقارير تحليلية تفاعلية لفريق الإدارة,15/08/2025,Approved,Medium,عمر حسان,12 Days,إنشاء نسخة احتياطية كاملة قبل تطبيق أي تغييرات,Resources,NO,28/08/2025,Cache Server,14,4,8.3,NO,NO,Medium,High,0.385,0
CR-00036,مشروع أبا الخيل-آل قصير,عبدالرحمن الحربي,Database,إضافة ميزة النسخ الاحتياطي التلقائي للبيانات المهمة,02/04/2025,Open,Low,عبدالعزيز الدوسري,17 Days,إنشاء نسخة احتياطية كاملة قبل تطبيق أي تغييرات,Security,NO,,Payment Gateway,62,8,4.6,NO,NO,Medium,Medium,0.683,0
CR-00037,مشروع بقشان Inc,إبراهيم العتيبي,Monitoring,إصلاح مشكلة في عرض البيانات على الأجهزة المحمولة,02/04/2025,Open,Low,سارة محمد,13 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Scope,YES,,User Management System,56,2,5.1,NO,NO,Medium,Medium,0.166,0
CR-00038,"مشروع العليان, آل جعفر and المهنا",أسماء الغامدي,Monitoring,تحديث بروتوكولات الأمان للشبكة الداخلية,22/06/2025,In Progress,Critical,إبراهيم العتيبي,3 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Compliance,NO,,Cache Server,6,3,7.7,YES,NO,Low,Low,0.485,0
CR-00039,مشروع كانو Group,ليلى سعيد,Documentation,إصلاح مشكلة في معالجة المدفوعات الإلكترونية,25/06/2025,Complete,Medium,عبدالرحمن الحربي,8 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Resources,NO,07/07/2025,Reporting System,44,4,3.4,YES,NO,Low,Low,0.03,0
CR-00040,مشروع المغاولة-حجار,يوسف محمود,Mobile,إضافة ميزة التصفية المتقدمة في نظام البحث العام,16/05/2025,In Progress,Low,زينب القرشي,14 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Performance,NO,,Authentication Service,21,9,5.2,NO,NO,Low,Low,0.0,0
CR-00041,مشروع Hickman Ltd,علي المالكي,Backend,تحديث نظام المصادقة الثنائية لمزيد من الأمان,11/03/2025,Open,Low,أحمد السعودي,22 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Resources,NO,,Backup System,4,7,8.7,YES,NO,High,Medium,0.557,0
CR-00042,"مشروع أبا الخيل, الخرافي and كانو",رقية الشمري,Mobile,تحديث قاعدة البيانات الرئيسية لتحسين الأداء وزيادة السرعة,11/06/2025,Open,Medium,علي المالكي,14 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Security,NO,,Search Engine,18,3,8.6,YES,YES,Low,Medium,0.046,0
CR-00043,مشروع Lam-Hayes,عمر حسان,Integration,تحسين سرعة تحميل الصفحات الرئيسية,28/03/2025,In Progress,High,زينب القرشي,2 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Compliance,NO,,Search Engine,14,3,1.5,YES,NO,High,High,0.578,0
CR-00044,مشروع آل جعفر LLC,حسان الراشد,Security,إضافة ميزة البحث الصوتي في التطبيق,01/06/2025,In Progress,Medium,زينب القرشي,12 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Schedule,NO,,API Gateway,24,8,1.2,NO,NO,Medium,Medium,0.001,0
CR-00045,"مشروع المهيدب, آل عواض and بن لادن",سارة محمد,Database,إضافة ميزة البحث الصوتي في التطبيق,12/07/2025,Open,Medium,أحمد السعودي,8 Days,إنشاء نسخة احتياطية كاملة قبل تطبيق أي تغييرات,Scope,NO,,SMS Gateway,45,1,6.6,YES,YES,Low,Low,0.521,0
CR-00046,مشروع آل جعفر Ltd,حسان الراشد,Frontend,إضافة ميزة البحث الصوتي في التطبيق,26/04/2025,Open,Medium,عائشة الزهراني,6 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Schedule,YES,,CDN Service,40,3,9.7,YES,YES,Medium,Low,0.384,0
CR-00047,مشروع آل جعفر Inc,علي المالكي,Integration,إصلاح مشكلة في عرض التقارير المالية,23/03/2025,Open,Medium,يوسف محمود,9 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Scope,NO,,User Management System,40,2,7.3,NO,NO,Medium,Medium,0.303,0
CR-00048,مشروع Palmer LLC,زينب القرشي,Monitoring,إضافة نظام مراقبة الأداء في الوقت الفعلي,12/05/2025,Open,High,عائشة الزهراني,2 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Performance,NO,,Monitoring Dashboard,20,1,8.6,YES,YES,High,High,0.635,1
CR-00049,مشروع Ryan Ltd,حسان الراشد,API,إضافة ميزة التصدير إلى ملفات Excel و PDF,29/06/2025,Complete,Low,خديجة المطيري,21 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Compliance,NO,22/07/2025,Backup System,60,7,8.4,YES,NO,Medium,High,0.431,0
CR-00050,مشروع Mueller Group,عبدالرحمن الحربي,Infrastructure,تحديث خادم قاعدة البيانات إلى الإصدار الأحدث,25/07/2025,Open,Medium,أسماء الغامدي,8 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Security,NO,,Email Service,9,6,1.3,NO,YES,Medium,Medium,0.384,0
CR-00051,مشروع آل خضير Ltd,أسماء الغامدي,Frontend,إصلاح مشكلة في عرض التقارير المالية,18/05/2025,On Hold,Medium,حسان الراشد,8 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Budget,NO,,CDN Service,26,9,9.5,YES,YES,Medium,High,0.339,0
CR-00052,مشروع Henderson-Owens,رقية الشمري,Backend,إصلاح مشكلة في عرض البيانات على الأجهزة المحمولة,17/03/2025,Needs Review,Medium,أحمد السعودي,12 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Resources,NO,,Backup System,39,4,4.6,NO,NO,Medium,Medium,0.727,1
CR-00053,"مشروع فصيل, فصيل and آل خضير",خديجة المطيري,Infrastructure,إضافة تقارير تحليلية تفاعلية لفريق الإدارة,27/04/2025,Open,Low,عائشة الزهراني,21 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Compliance,NO,,Audit System,62,5,3.8,NO,YES,High,High,0.666,1
CR-00054,مشروع الجابر-آل خضير,حسان الراشد,API,تحديث بروتوكولات الأمان للشبكة الداخلية,24/04/2025,Approved,Critical,عبدالعزيز الدوسري,2 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Resources,NO,28/04/2025,API Gateway,2,2,8.5,YES,YES,Low,High,0.857,1
CR-00055,مشروع آل عطفة PLC,حسان الراشد,Backend,إصلاح مشكلة في واجهة تسجيل الدخول التي تؤثر على المستخدمين,10/05/2025,Open,Low,سارة محمد,15 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Resources,YES,,SMS Gateway,40,3,6.7,NO,NO,Low,Low,0.504,0
CR-00056,مشروع Henderson LLC,نور عبدالله,API,إصلاح مشكلة في واجهة تسجيل الدخول التي تؤثر على المستخدمين,29/06/2025,Open,Low,حسان الراشد,28 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Schedule,YES,,User Management System,38,2,4.6,NO,NO,Low,Medium,0.641,1
CR-00057,مشروع Baxter Inc,خديجة المطيري,Integration,إضافة ميزة البحث الصوتي في التطبيق,14/03/2025,Complete,High,زينب القرشي,3 Days,تدريب فريق الدعم الفني على التحديثات والمزايا الجديدة,Scope,NO,21/03/2025,Payment Gateway,6,9,4.4,NO,NO,Medium,Low,0.026,0
CR-00058,"مشروع Garcia, Pearson and Fernandez",يوسف محمود,Infrastructure,تحسين سرعة تحميل الصفحات الرئيسية,17/06/2025,Approved,Medium,يوسف محمود,11 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Schedule,NO,28/06/2025,Audit System,23,3,3.2,NO,NO,Medium,Low,0.483,0
CR-00059,مشروع آل قصير and Sons,سارة محمد,API,تحسين أداء استعلامات قاعدة البيانات المعقدة,15/07/2025,Approved,High,مريم خليل,2 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Resources,NO,24/07/2025,Mobile Application,15,8,1.6,YES,YES,Low,Low,1.0,1
CR-00060,مشروع Olson-Hancock,خالد إبراهيم,Infrastructure,إصلاح مشكلة في معالجة المدفوعات الإلكترونية,24/04/2025,In Progress,Medium,خالد إبراهيم,8 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Budget,NO,,Audit System,31,3,8.1,YES,YES,Medium,Low,0.534,1
CR-00061,مشروع الحكير Inc,علي المالكي,Analytics,إصلاح مشكلة في معالجة المدفوعات الإلكترونية,26/07/2025,Complete,Medium,إبراهيم العتيبي,9 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Compliance,YES,05/08/2025,Audit System,32,8,1.7,NO,YES,Medium,Medium,0.041,0
CR-00062,مشروع House-Glover,عبدالعزيز الدوسري,Configuration,تحديث خادم قاعدة البيانات إلى الإصدار الأحدث,06/03/2025,Open,Low,أحمد السعودي,29 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Resources,YES,,Email Service,34,10,1.4,YES,NO,Medium,High,0.008,0
CR-00063,مشروع Horton-Cross,رقية الشمري,Documentation,إضافة ميزة التصفية المتقدمة في نظام البحث العام,09/04/2025,Complete,Critical,رقية الشمري,3 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Security,YES,16/04/2025,Cache Server,8,6,3.9,NO,NO,High,High,0.0,0
CR-00064,مشروع Lee and Sons,خديجة المطيري,Frontend,إصلاح مشكلة في واجهة تسجيل الدخول التي تؤثر على المستخدمين,22/03/2025,Open,Low,عبدالرحمن الحربي,23 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Performance,NO,,Email Service,65,5,3.9,NO,NO,Low,Low,0.186,0
CR-00065,"مشروع المهنا, آل بن لافي and أبو داوود",عائشة الزهراني,Mobile,إضافة ميزة التصدير إلى ملفات Excel و PDF,07/06/2025,Approved,High,رقية الشمري,7 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Compliance,NO,21/06/2025,User Management System,19,1,2.8,NO,NO,Low,High,0.324,1
CR-00066,مشروع بن لادن Group,أسماء الغامدي,Frontend,تحسين أداء استعلامات قاعدة البيانات المعقدة,14/07/2025,Approved,Medium,نور عبدالله,12 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Budget,NO,02/08/2025,File Storage System,48,9,4.7,YES,YES,High,Medium,0.136,0
CR-00067,مشروع المشاولة Inc,مريم خليل,API,إضافة دعم اللغات المتعددة للموقع الإلكتروني,22/04/2025,In Progress,Medium,حسان الراشد,6 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Compliance,NO,,Load Balancer,45,8,3.2,NO,YES,Low,High,0.75,1
CR-00068,مشروع حجار Inc,زينب القرشي,Frontend,إضافة تقارير تحليلية تفاعلية لفريق الإدارة,15/07/2025,Approved,Low,إبراهيم العتيبي,16 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Budget,NO,02/08/2025,Analytics Platform,67,5,7.5,YES,NO,Medium,Low,0.359,1
CR-00069,مشروع آل رفيع-بقشان,خديجة المطيري,Integration,إضافة ميزة البحث الصوتي في التطبيق,24/07/2025,In Progress,Critical,خديجة المطيري,1 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Compliance,NO,,CDN Service,8,6,8.8,NO,NO,Medium,Medium,0.562,1
CR-00070,"مشروع حجار, آل بن ظافر and حنبولي",محمد الأحمد,Backend,تحديث بروتوكولات الأمان للشبكة الداخلية,21/08/2025,In Progress,Medium,رقية الشمري,11 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Security,NO,,Audit System,18,7,9.9,YES,YES,Low,Low,0.557,1
CR-00071,مشروع كانو-بن لادن,فاطمة علي,Frontend,إصلاح مشكلة في عرض البيانات على الأجهزة المحمولة,09/08/2025,In Progress,Medium,فاطمة علي,5 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Compliance,NO,,CDN Service,12,1,7.5,YES,NO,Medium,Medium,0.051,0
CR-00072,مشروع Harris-Moran,أسماء الغامدي,Monitoring,إصلاح مشكلة في عرض التقارير المالية,08/06/2025,Needs Review,Critical,علي المالكي,1 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Schedule,NO,,Web Server,8,6,8.7,NO,NO,Medium,Low,0.634,1
CR-00073,مشروع الخرافي-آل سعود,مريم خليل,Configuration,تحسين أداء استعلامات قاعدة البيانات المعقدة,10/07/2025,Approved,Medium,عمر حسان,12 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Schedule,NO,22/07/2025,Email Service,38,2,5.0,NO,NO,Low,Medium,0.185,0
CR-00074,مشروع Stewart-Walton,عائشة الزهراني,Infrastructure,إضافة ميزة النسخ الاحتياطي التلقائي للبيانات المهمة,20/08/2025,Needs Review,Medium,خالد إبراهيم,5 Days,إنشاء نسخة احتياطية كاملة قبل تطبيق أي تغييرات,Security,NO,,User Management System,24,10,7.1,YES,YES,Medium,Low,0.539,1
CR-00075,مشروع العجلان PLC,ليلى سعيد,Frontend,إصلاح مشكلة في عرض البيانات على الأجهزة المحمولة,11/04/2025,Approved,Low,حسان الراشد,12 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Resources,NO,26/04/2025,Mobile Application,50,1,9.1,NO,NO,Low,Low,0.249,0
CR-00076,مشروع المهنا and Sons,عبدالعزيز الدوسري,Infrastructure,تحديث مكتبات الأمان ضد الثغرات الأمنية الجديدة,23/06/2025,Open,Medium,زينب القرشي,7 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Resources,NO,,Search Engine,8,8,8.6,YES,NO,Low,Low,0.433,1
CR-00077,مشروع Mahoney Inc,مريم خليل,Configuration,إصلاح مشكلة في عرض التقارير المالية,15/04/2025,In Progress,Low,مريم خليل,13 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Security,NO,,CDN Service,32,5,1.1,NO,NO,Medium,Medium,0.114,0
CR-00078,مشروع آل مقطة-آل صفوان,ليلى سعيد,Analytics,إضافة ميزة التصدير إلى ملفات Excel و PDF,18/08/2025,Needs Review,High,عائشة الزهراني,6 Days,إنشاء نسخة احتياطية كاملة قبل تطبيق أي تغييرات,Scope,NO,,Payment Gateway,17,10,3.3,YES,NO,Medium,Medium,0.45,0
CR-00079,"مشروع Warner, Carr and Archer",عبدالعزيز الدوسري,Monitoring,إصلاح مشكلة تحميل الملفات الكبيرة أكثر من 100 ميجا,11/08/2025,Complete,High,خالد إبراهيم,7 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Resources,NO,18/08/2025,Web Server,5,6,7.7,NO,NO,Low,Medium,0.093,0
CR-00080,"مشروع المهيدب, أبا الخيل and كانو",نور عبدالله,Backend,إصلاح مشكلة في معالجة المدفوعات الإلكترونية,09/04/2025,On Hold,Medium,رقية الشمري,13 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Performance,NO,,Web Server,27,2,5.2,YES,YES,Low,Medium,0.659,0
